Student_id, score
N00000145, 83
N00000145, 59
N00000145, 86
N00000145, 78
N00000145, 58
N00000145, 72
N00000145, 82
N00000145, 80
N00000145, 61
N00000145, 71
N00000145, 59
N00000145, 80
N00000145, 77
N00000145, 73
N00000145, 72
N00000145, 72
N00000145, 77
N00000145, 86
N00000145, 68
N00000145, 78
N00000145, 87
N00000145, 73
N00000145, 63
N00000145, 87
N00000145, 87
N00000145, 72
N00000145, 77
N00000145, 83
N00000145, 79
N00000145, 86
N00000145, 86
N00000145, 69
N00000145, 82
N00000145, 73
N00000145, 81
N00000145, 64
N00000145, 91
N00000145, 85
N00000145, 86
N00000145, 71
N00000145, 83
N00000145, 81
N00000145, 79
N00000145, 86
N00000145, 65
N00000145, 63
N00000145, 80
N00000145, 72
N00000145, 73
N00000145, 96
N00000145, 77
N00000145, 86
N00000145, 68
N00000145, 86
N00000145, 76
N00000145, 82
N00000145, 69
N00000145, 77
N00000145, 82
N00000145, 86
N00000145, 85
N00000145, 63
N00000145, 82
N00000145, 56
N00000145, 78
N00000145, 62
N00000145, 74
N00000145, 69
N00000145, 77
N00000145, 59
N00000145, 82
N00000145, 79
N00000145, 81
N00000145, 88
N00000145, 82
N00000145, 64
N00000145, 73
N00000145, 73
N00000145, 87
N00000145, 58
N00000145, 87
N00000145, 76
N00000145, 62
N00000145, 76
N00000145, 78
N00000145, 70
N00000145, 96
N00000145, 65
N00000145, 82
N00000145, 67
N00000145, 68
N00000145, 82
N00000145, 81
N00000145, 72
N00000145, 73
N00000145, 73
N00000145, 87
N00000145, 75
N00000145, 80
N00000145, 81
