Student_id, score
N00000640, 86
N00000640, 78
N00000640, 90
N00000640, 78
N00000640, 68
N00000640, 79
N00000640, 92
N00000640, 78
N00000640, 64
N00000640, 78
N00000640, 81
N00000640, 69
N00000640, 71
N00000640, 72
N00000640, 58
N00000640, 88
N00000640, 64
N00000640, 67
N00000640, 83
N00000640, 63
N00000640, 81
N00000640, 81
N00000640, 77
N00000640, 83
N00000640, 87
N00000640, 73
N00000640, 88
N00000640, 44
N00000640, 86
N00000640, 73
N00000640, 65
N00000640, 69
N00000640, 86
N00000640, 81
N00000640, 86
N00000640, 69
N00000640, 74
N00000640, 79
N00000640, 66
N00000640, 70
N00000640, 74
N00000640, 71
N00000640, 55
N00000640, 96
N00000640, 78
N00000640, 76
N00000640, 87
N00000640, 77
N00000640, 68
N00000640, 72
N00000640, 73
N00000640, 69
N00000640, 88
N00000640, 87
N00000640, 72
N00000640, 73
N00000640, 100
N00000640, 86
N00000640, 61
N00000640, 73
N00000640, 73
N00000640, 92
N00000640, 73
N00000640, 77
N00000640, 77
N00000640, 74
N00000640, 83
N00000640, 87
N00000640, 87
N00000640, 69
N00000640, 65
N00000640, 72
N00000640, 86
N00000640, 79
N00000640, 66
N00000640, 79
N00000640, 53
N00000640, 71
N00000640, 79
N00000640, 67
N00000640, 67
N00000640, 77
N00000640, 67
N00000640, 75
N00000640, 90
N00000640, 75
N00000640, 87
N00000640, 85
N00000640, 79
N00000640, 64
N00000640, 69
N00000640, 58
N00000640, 74
N00000640, 73
N00000640, 63
N00000640, 63
N00000640, 67
N00000640, 82
N00000640, 77
N00000640, 70
N00000640, 69
N00000640, 76
N00000640, 62
N00000640, 82
N00000640, 86
N00000640, 75
N00000640, 72
N00000640, 82
N00000640, 74
N00000640, 78
N00000640, 82
N00000640, 96
N00000640, 49
N00000640, 91
N00000640, 77
N00000640, 82
N00000640, 85
N00000640, 61
N00000640, 92
N00000640, 85
N00000640, 80
N00000640, 55
N00000640, 77
N00000640, 67
N00000640, 81
N00000640, 86
N00000640, 62
N00000640, 60
N00000640, 65
N00000640, 74
N00000640, 82
N00000640, 79
N00000640, 72
N00000640, 59
N00000640, 69
N00000640, 61
N00000640, 77
N00000640, 100
N00000640, 77
N00000640, 87
N00000640, 71
N00000640, 77
N00000640, 57
N00000640, 81
N00000640, 78
N00000640, 77
N00000640, 92
N00000640, 73
N00000640, 83
N00000640, 58
N00000640, 68
N00000640, 81
N00000640, 96
N00000640, 84
N00000640, 74
N00000640, 72
N00000640, 82
N00000640, 92
N00000640, 68
N00000640, 69
N00000640, 73
N00000640, 86
N00000640, 68
N00000640, 68
N00000640, 85
N00000640, 73
N00000640, 95
N00000640, 73
N00000640, 76
N00000640, 72
N00000640, 75
N00000640, 67
N00000640, 69
N00000640, 84
N00000640, 73
N00000640, 74
N00000640, 96
N00000640, 69
N00000640, 86
N00000640, 72
N00000640, 69
N00000640, 74
N00000640, 87
N00000640, 96
N00000640, 78
N00000640, 72
N00000640, 78
N00000640, 72
N00000640, 78
N00000640, 57
N00000640, 91
N00000640, 74
N00000640, 77
N00000640, 81
N00000640, 80
N00000640, 81
N00000640, 83
N00000640, 87
N00000640, 83
N00000640, 86
N00000640, 65
N00000640, 87
N00000640, 72
N00000640, 63
N00000640, 72
N00000640, 78
N00000640, 74
N00000640, 64
N00000640, 68
N00000640, 73
N00000640, 78
N00000640, 90
N00000640, 74
N00000640, 56
N00000640, 78
N00000640, 86
N00000640, 74
N00000640, 82
N00000640, 76
N00000640, 82
N00000640, 62
N00000640, 74
N00000640, 77
N00000640, 69
N00000640, 62
N00000640, 85
N00000640, 80
N00000640, 77
N00000640, 74
N00000640, 82
N00000640, 70
N00000640, 78
N00000640, 82
N00000640, 63
N00000640, 83
N00000640, 88
N00000640, 64
N00000640, 79
N00000640, 60
N00000640, 78
N00000640, 88
N00000640, 72
N00000640, 82
N00000640, 62
N00000640, 91
N00000640, 79
N00000640, 87
N00000640, 78
N00000640, 90
N00000640, 81
N00000640, 64
N00000640, 64
N00000640, 92
N00000640, 76
N00000640, 77
N00000640, 64
N00000640, 62
N00000640, 79
N00000640, 78
N00000640, 71
N00000640, 73
N00000640, 57
N00000640, 71
N00000640, 81
N00000640, 71
N00000640, 86
N00000640, 59
N00000640, 69
N00000640, 69
N00000640, 78
N00000640, 91
N00000640, 68
N00000640, 81
N00000640, 79
N00000640, 85
N00000640, 68
N00000640, 95
N00000640, 67
N00000640, 78
N00000640, 70
N00000640, 92
N00000640, 63
N00000640, 65
N00000640, 72
N00000640, 60
N00000640, 82
N00000640, 87
N00000640, 87
N00000640, 86
N00000640, 81
N00000640, 79
N00000640, 72
N00000640, 91
N00000640, 75
N00000640, 71
N00000640, 79
N00000640, 71
N00000640, 77
N00000640, 78
N00000640, 73
N00000640, 82
N00000640, 87
N00000640, 77
N00000640, 65
N00000640, 86
N00000640, 76
N00000640, 73
N00000640, 71
N00000640, 67
N00000640, 90
N00000640, 73
N00000640, 84
N00000640, 90
N00000640, 79
N00000640, 63
N00000640, 64
N00000640, 77
N00000640, 73
N00000640, 90
N00000640, 95
N00000640, 73
N00000640, 84
N00000640, 82
N00000640, 85
N00000640, 61
N00000640, 64
N00000640, 92
N00000640, 69
N00000640, 73
N00000640, 77
N00000640, 92
N00000640, 68
N00000640, 91
N00000640, 86
N00000640, 82
N00000640, 90
N00000640, 92
N00000640, 77
N00000640, 70
N00000640, 82
N00000640, 63
N00000640, 72
N00000640, 72
N00000640, 53
N00000640, 73
N00000640, 57
N00000640, 77
N00000640, 85
N00000640, 63
N00000640, 74
N00000640, 72
N00000640, 91
N00000640, 81
N00000640, 67
N00000640, 91
N00000640, 92
N00000640, 53
N00000640, 79
N00000640, 57
N00000640, 81
N00000640, 69
N00000640, 87
N00000640, 82
N00000640, 65
N00000640, 72
N00000640, 67
N00000640, 76
N00000640, 68
N00000640, 87
N00000640, 86
N00000640, 91
N00000640, 83
N00000640, 60
N00000640, 58
N00000640, 74
N00000640, 81
N00000640, 72
N00000640, 74
N00000640, 70
N00000640, 77
N00000640, 71
N00000640, 86
N00000640, 73
N00000640, 73
N00000640, 62
N00000640, 86
N00000640, 77
N00000640, 78
N00000640, 87
N00000640, 77
N00000640, 73
N00000640, 64
N00000640, 87
N00000640, 88
N00000640, 78
N00000640, 73
N00000640, 78
N00000640, 57
N00000640, 87
N00000640, 81
N00000640, 87
N00000640, 68
N00000640, 82
N00000640, 86
N00000640, 64
N00000640, 83
N00000640, 75
N00000640, 86
N00000640, 77
N00000640, 63
N00000640, 73
N00000640, 50
N00000640, 68
N00000640, 78
N00000640, 67
N00000640, 62
N00000640, 100
N00000640, 61
N00000640, 75
N00000640, 77
N00000640, 78
N00000640, 61
N00000640, 69
N00000640, 69
N00000640, 64
N00000640, 57
N00000640, 78
N00000640, 57
N00000640, 69
N00000640, 77
N00000640, 72
N00000640, 60
N00000640, 69
N00000640, 65
N00000640, 88
N00000640, 57
N00000640, 83
N00000640, 77
N00000640, 67
N00000640, 77
N00000640, 91
N00000640, 95
N00000640, 85
N00000640, 74
N00000640, 88
N00000640, 74
N00000640, 68
N00000640, 73
N00000640, 73
N00000640, 74
N00000640, 79
N00000640, 73
N00000640, 73
N00000640, 81
N00000640, 87
N00000640, 63
N00000640, 91
N00000640, 74
N00000640, 88
N00000640, 82
N00000640, 64
N00000640, 52
N00000640, 78
N00000640, 82
N00000640, 69
N00000640, 73
N00000640, 77
N00000640, 78
N00000640, 81
N00000640, 77
N00000640, 77
N00000640, 91
N00000640, 69
N00000640, 55
N00000640, 81
N00000640, 88
N00000640, 82
N00000640, 91
N00000640, 86
N00000640, 81
N00000640, 65
N00000640, 83
N00000640, 76
N00000640, 78
N00000640, 58
N00000640, 82
N00000640, 83
N00000640, 76
N00000640, 49
N00000640, 77
N00000640, 77
