Student_id, score
N00002141, 81
N00002141, 81
N00002141, 73
N00002141, 73
N00002141, 62
N00002141, 79
N00002141, 68
N00002141, 77
N00002141, 71
N00002141, 76
N00002141, 100
N00002141, 67
N00002141, 68
N00002141, 76
N00002141, 74
N00002141, 82
N00002141, 76
N00002141, 77
N00002141, 68
N00002141, 50
N00002141, 82
N00002141, 59
N00002141, 69
N00002141, 67
N00002141, 71
N00002141, 82
N00002141, 82
N00002141, 60
N00002141, 63
N00002141, 75
N00002141, 87
N00002141, 68
N00002141, 75
N00002141, 72
N00002141, 83
N00002141, 72
N00002141, 83
N00002141, 82
N00002141, 64
N00002141, 82
N00002141, 81
N00002141, 77
N00002141, 71
N00002141, 68
N00002141, 83
N00002141, 73
N00002141, 50
N00002141, 66
N00002141, 67
N00002141, 73
N00002141, 54
N00002141, 91
N00002141, 52
N00002141, 77
N00002141, 75
N00002141, 72
N00002141, 63
N00002141, 77
N00002141, 73
N00002141, 81
N00002141, 83
N00002141, 83
N00002141, 82
N00002141, 88
N00002141, 81
N00002141, 78
N00002141, 70
N00002141, 68
N00002141, 90
N00002141, 64
N00002141, 77
N00002141, 73
N00002141, 59
N00002141, 69
N00002141, 72
N00002141, 92
N00002141, 90
N00002141, 83
N00002141, 76
N00002141, 88
N00002141, 91
N00002141, 69
N00002141, 87
N00002141, 79
N00002141, 47
N00002141, 69
N00002141, 66
N00002141, 72
N00002141, 73
N00002141, 87
N00002141, 80
N00002141, 68
N00002141, 68
N00002141, 77
N00002141, 77
N00002141, 77
N00002141, 70
N00002141, 60
N00002141, 64
N00002141, 87
N00002141, 77
N00002141, 72
N00002141, 86
N00002141, 87
N00002141, 88
N00002141, 91
N00002141, 72
N00002141, 88
N00002141, 91
N00002141, 80
N00002141, 72
N00002141, 70
N00002141, 72
N00002141, 82
N00002141, 59
N00002141, 82
N00002141, 59
N00002141, 72
N00002141, 72
N00002141, 65
N00002141, 79
N00002141, 73
N00002141, 77
N00002141, 77
N00002141, 73
N00002141, 76
N00002141, 68
N00002141, 92
N00002141, 80
N00002141, 85
N00002141, 91
N00002141, 76
N00002141, 68
N00002141, 82
N00002141, 74
N00002141, 71
N00002141, 78
N00002141, 74
N00002141, 58
N00002141, 66
N00002141, 82
N00002141, 76
N00002141, 79
N00002141, 82
N00002141, 78
N00002141, 74
N00002141, 79
N00002141, 68
N00002141, 91
N00002141, 64
N00002141, 87
N00002141, 69
N00002141, 68
N00002141, 82
N00002141, 82
N00002141, 63
N00002141, 56
N00002141, 90
N00002141, 88
N00002141, 96
N00002141, 82
N00002141, 73
N00002141, 77
N00002141, 81
N00002141, 73
N00002141, 85
N00002141, 70
N00002141, 78
N00002141, 71
N00002141, 73
N00002141, 73
N00002141, 72
N00002141, 77
N00002141, 78
N00002141, 64
N00002141, 71
N00002141, 47
N00002141, 70
N00002141, 85
N00002141, 92
N00002141, 64
N00002141, 58
N00002141, 65
N00002141, 72
N00002141, 95
N00002141, 88
N00002141, 58
N00002141, 79
N00002141, 82
N00002141, 61
N00002141, 68
N00002141, 72
N00002141, 68
